# full_run_table: **Per-run reproducibility CSV (not in supplement PDF; available in the code repository at `results/supplement_tables/full_run_table.csv`).** All 66 Phase 9 training runs. Synthetic blocks (clean + 3 noise levels) use 3 seeds per (condition, method) cell; experimental blocks use 5 seeds. Ground-truth D in normalized PINN coordinates is 0.01975 for synthetic; experimental D has no ground truth (LS-fit anchor is reported in Table S-FRAP3 only as a literature reference).
method,seed,condition,lambda_phys,init_D,D_recovered,D abs err,D % err,val_mse,median_strong_resid,median_weak_resid,k,notes
data,0,clean,0.0,0.05,0.0500,0.03025,153.16,1.079e-04,1.382e-02,4.274e-04,0.0000,
data,1,clean,0.0,0.05,0.0500,0.03025,153.16,1.497e-04,2.263e-02,1.726e-03,0.0000,
data,2,clean,0.0,0.05,0.0500,0.03025,153.16,5.192e-05,1.775e-02,5.016e-04,0.0000,
strong,0,clean,1.0,0.05,0.0193,0.00042,2.15,5.985e-05,2.022e-03,5.948e-05,0.0000,
strong,1,clean,1.0,0.05,0.0187,0.00109,5.50,4.242e-05,3.088e-03,1.370e-04,0.0000,
strong,2,clean,1.0,0.05,0.0193,0.00047,2.36,3.343e-05,2.373e-03,9.342e-05,0.0000,
weak,0,clean,30.0,0.05,0.0202,0.00045,2.27,5.142e-05,8.277e-03,1.230e-04,0.0000,
weak,1,clean,30.0,0.05,0.0202,0.00044,2.24,2.870e-04,2.279e-02,1.150e-03,0.0000,
weak,2,clean,30.0,0.05,0.0201,0.00034,1.72,4.405e-05,1.383e-02,5.943e-04,0.0000,
data,0,noise_low,0.0,0.05,0.0500,0.03025,153.16,2.310e-04,1.794e-02,3.781e-04,0.0000,
data,1,noise_low,0.0,0.05,0.0500,0.03025,153.16,2.894e-04,2.877e-02,1.117e-03,0.0000,
data,2,noise_low,0.0,0.05,0.0500,0.03025,153.16,2.650e-04,2.012e-02,5.515e-04,0.0000,
strong,0,noise_low,1.0,0.05,0.0191,0.00061,3.11,1.919e-04,1.844e-03,9.841e-05,0.0000,
strong,1,noise_low,1.0,0.05,0.0184,0.00140,7.07,2.454e-04,2.645e-03,1.380e-04,0.0000,
strong,2,noise_low,1.0,0.05,0.0189,0.00089,4.51,1.879e-04,2.533e-03,1.657e-04,0.0000,
weak,0,noise_low,30.0,0.05,0.0202,0.00047,2.36,2.081e-04,1.110e-02,1.859e-04,0.0000,
weak,1,noise_low,30.0,0.05,0.0200,0.00029,1.48,4.003e-04,2.096e-02,8.969e-04,0.0000,
weak,2,noise_low,30.0,0.05,0.0198,0.00008,0.41,2.796e-04,1.673e-02,4.823e-04,0.0000,
data,0,noise_med,0.0,0.05,0.0500,0.03025,153.16,1.245e-03,1.488e-02,3.849e-04,0.0000,
data,1,noise_med,0.0,0.05,0.0500,0.03025,153.16,1.193e-03,1.926e-02,7.131e-04,0.0000,
data,2,noise_med,0.0,0.05,0.0500,0.03025,153.16,1.169e-03,1.613e-02,9.456e-04,0.0000,
strong,0,noise_med,1.0,0.05,0.0161,0.00367,18.56,1.175e-03,3.448e-03,3.199e-04,0.0000,
strong,1,noise_med,1.0,0.05,0.0182,0.00151,7.63,1.185e-03,2.601e-03,2.644e-04,0.0000,
strong,2,noise_med,1.0,0.05,0.0186,0.00120,6.06,1.191e-03,2.555e-03,1.204e-04,0.0000,
weak,0,noise_med,30.0,0.05,0.0201,0.00036,1.85,1.243e-03,1.456e-02,6.629e-04,0.0000,
weak,1,noise_med,30.0,0.05,0.0208,0.00110,5.56,1.202e-03,1.941e-02,5.745e-04,0.0000,
weak,2,noise_med,30.0,0.05,0.0201,0.00032,1.60,1.174e-03,1.437e-02,6.003e-04,0.0000,
data,0,noise_high,0.0,0.05,0.0500,0.03025,153.16,7.149e-03,7.976e-03,6.742e-04,0.0000,
data,1,noise_high,0.0,0.05,0.0500,0.03025,153.16,7.167e-03,8.477e-03,1.352e-03,0.0000,
data,2,noise_high,0.0,0.05,0.0500,0.03025,153.16,7.125e-03,1.065e-02,8.007e-04,0.0000,
strong,0,noise_high,1.0,0.05,0.0150,0.00477,24.13,7.149e-03,2.449e-03,5.669e-05,0.0000,
strong,1,noise_high,1.0,0.05,0.0174,0.00240,12.13,7.133e-03,1.724e-03,1.413e-04,0.0000,
strong,2,noise_high,1.0,0.05,0.0167,0.00301,15.24,7.131e-03,1.499e-03,1.562e-04,0.0000,
weak,0,noise_high,30.0,0.05,0.0198,0.00004,0.20,7.148e-03,7.027e-03,4.080e-04,0.0000,
weak,1,noise_high,30.0,0.05,0.0200,0.00028,1.44,7.211e-03,1.019e-02,1.102e-03,0.0000,
weak,2,noise_high,30.0,0.05,0.0192,0.00055,2.79,7.126e-03,6.333e-03,4.354e-04,0.0000,
