model,horizon,n_TP,n_matched,median_lead_h,mean_lead_h,p25_lead_h,p75_lead_h
Flare-PINN (Weak),6,32,32,1.9916666666666667,2.2260416666666667,0.8458333333333333,2.9125
Flare-PINN (Weak),12,57,57,4.233333333333333,4.738011695906433,1.8333333333333333,7.983333333333333
Flare-PINN (Weak),24,86,86,7.191666666666666,8.642441860465118,2.5875000000000004,13.941666666666666
Strong-Form,6,30,30,1.9083333333333332,2.11,0.8375,2.7666666666666666
Strong-Form,12,49,49,2.8833333333333333,4.3710884353741495,1.3166666666666667,7.066666666666666
Strong-Form,24,81,81,7.066666666666666,8.37942386831276,2.6,12.333333333333334
Benchmark (CNN),6,28,28,1.6333333333333333,2.019047619047619,0.8291666666666667,2.666666666666667
Benchmark (CNN),12,46,46,2.8583333333333334,4.3605072463768115,1.2541666666666667,7.254166666666666
Benchmark (CNN),24,80,80,6.949999999999999,8.287916666666666,2.5875,12.208333333333332
Logistic Regression,6,30,30,1.9083333333333332,2.1477777777777773,0.8375,2.8291666666666666
Logistic Regression,12,53,53,3.7,4.5295597484276735,1.4333333333333333,7.316666666666666
Logistic Regression,24,79,79,7.066666666666666,8.577004219409282,2.591666666666667,13.733333333333334
XGBoost,6,6,6,1.5333333333333332,2.1277777777777778,1.1083333333333334,2.183333333333333
XGBoost,12,18,18,2.8583333333333334,4.645370370370371,1.8708333333333333,6.8375
XGBoost,24,45,45,7.066666666666666,8.468148148148147,2.6166666666666667,13.316666666666666
SVM,6,25,25,1.9833333333333334,2.146,0.8333333333333334,2.6166666666666667
SVM,12,49,49,3.7,4.673469387755102,1.8333333333333333,7.983333333333333
SVM,24,88,88,7.65,8.891856060606061,2.595833333333333,14.375
