Model,Horizon,TSS,ROC_AUC,PR_AUC,POD,FPR,CSI,Detection_Rate,Median_Lead_Time_h,Alert_Rate,False_Alert_Rate
Flare-PINN (Weak),6h,0.825921,0.967657,0.170456,0.914286,0.088365,0.059590,0.920000,6.000000,0.327613,0.291732
Flare-PINN (Weak),12h,0.832779,0.965277,0.239346,0.950000,0.117221,0.078838,1.000000,12.000000,0.402496,0.360374
Flare-PINN (Weak),24h,0.798033,0.956164,0.270556,0.945055,0.147022,0.093682,1.000000,24.000000,0.455538,0.411856
Strong-Form,6h,0.767370,0.961262,0.192340,0.857143,0.089773,0.055046,0.800000,6.000000,0.336973,0.302652
Strong-Form,12h,0.728442,0.959284,0.268678,0.816667,0.088225,0.087657,0.866667,12.000000,0.340094,0.299532
Strong-Form,24h,0.764954,0.947468,0.283668,0.890110,0.125156,0.101887,1.000000,24.000000,0.410296,0.366615
Benchmark (No Physics),6h,0.712339,0.958523,0.171045,0.800000,0.087661,0.052533,0.760000,6.000000,0.332293,0.299532
Benchmark (No Physics),12h,0.680917,0.955787,0.257156,0.766667,0.085750,0.084404,0.800000,12.000000,0.333853,0.294852
Benchmark (No Physics),24h,0.745610,0.943953,0.280231,0.879121,0.133511,0.095012,1.000000,24.000000,0.427457,0.383775
Logistic Regression,6h,0.755511,0.933271,0.065009,0.914286,0.158775,0.034152,0.960000,6.000000,0.497660,0.461778
Logistic Regression,12h,0.762848,0.934922,0.093207,0.916667,0.153819,0.059140,0.933333,12.000000,0.496100,0.453978
Logistic Regression,24h,0.717355,0.928342,0.125503,0.934066,0.216711,0.064885,1.000000,24.000000,0.597504,0.553822
XGBoost,6h,0.721603,0.923550,0.083366,0.857143,0.135540,0.037267,0.880000,6.000000,0.446178,0.410296
XGBoost,12h,0.754668,0.929214,0.189845,0.900000,0.145332,0.061224,1.000000,12.000000,0.477379,0.435257
XGBoost,24h,0.758599,0.931184,0.226332,0.934066,0.175467,0.078850,1.000000,24.000000,0.533541,0.489860
SVM,6h,0.465210,0.736877,0.015835,0.714286,0.249076,0.017241,0.840000,6.000000,0.664587,0.630265
SVM,12h,0.681212,0.912621,0.071599,0.933333,0.252122,0.037685,1.000000,12.000000,0.644306,0.602184
SVM,24h,0.645243,0.859630,0.056187,0.912088,0.266844,0.052136,1.000000,24.000000,0.683307,0.639626
